problem,search.method,plan.length,metric.search,planning.time.msec,heuristic.time.msec,search.time.msec,grounding.time,expanded.nodes,states.evaluated,duplicates.detected,type
instance-1,sat-hadd,10,10.0,115,3,8,7,13,22,12,blocksworld
instance-6,sat-hmrp,24,24.0,123,5,13,6,37,57,38,blocksworld
instance-8,opt-hrmax,10,10.0,173,40,61,7,760,1525,1466,blocksworld
instance-1,lm_opt,10,10.0,114,4,8,6,13,22,12,blocksworld
instance-6,opt,20,20.0,124,4,12,7,33,72,33,blocksworld
instance-10,opt-hmax,20,20.0,419,245,301,8,5945,11093,12940,blocksworld
instance-9,opt-hrmax,20,20.0,225,81,108,7,2556,3689,4748,blocksworld
instance-10,sat-hmrphj,22,22.0,142,8,20,8,43,74,36,blocksworld
instance-1,sat-haddabs,10,10.0,115,3,8,6,13,22,12,blocksworld
instance-9,sat-haddabs,28,28.0,131,9,17,7,51,105,54,blocksworld
instance-6,sat-haddabs,106,0.0,127,14,26,12,241,1101,727,logistics
instance-8,sat-hradd,2153,0.0,343,187,232,13,4399,22520,16088,logistics
instance-7,opt,5871,0.0,607,433,505,13,11880,57115,50096,logistics
instance-1,sas,721,0.0,201,75,100,12,1466,7644,5849,logistics
instance-2,aibr,170,0.0,154,38,51,13,341,2278,1117,logistics
instance-9,sat-hradd,9262,0.0,926,708,822,12,19382,99422,77062,logistics
instance-7,sat-hmrp,5871,0.0,715,534,611,13,11880,57115,50096,logistics
instance-5,sas,2033,0.0,429,276,327,13,4069,27917,15730,logistics
instance-6,lm_opt,106,0.0,130,16,26,13,241,1101,727,logistics
instance-3,opt,1771,0.0,342,205,238,13,3556,19308,15882,logistics
instance-1,opt-hmax,721,0.0,204,79,100,13,1466,7644,5849,logistics
instance-5,aibr,2033,0.0,425,271,325,12,4069,27917,15730,logistics
instance-10,sat-hadd,14424,0.0,2363,2009,2259,12,28872,193937,121015,logistics
instance-9,lm_opt,9262,0.0,920,710,820,13,19382,99422,77062,logistics
instance-9,sat-hmrph,34,0.0,126,20,23,12,68,254,62,logistics
instance-10,lm_opt,14424,0.0,2262,1900,2152,13,28872,193937,121015,logistics
instance-4,sat-haddabs,3834,0.0,464,307,362,13,7705,39476,30815,logistics
instance-2,opt-hmax,170,0.0,155,36,51,13,341,2278,1117,logistics
instance-8,sat-hmrph,19,0.0,122,9,14,14,38,91,30,logistics
instance-10,opt-hrmax,14424,0.0,2208,1890,2104,12,28872,193937,121015,logistics
instance-4,aibr,3834,0.0,462,307,361,13,7705,39476,30815,logistics
instance-4,sat-hmrp,3834,0.0,546,380,442,13,7705,39476,30815,logistics
instance-3,sat-hadd,1771,0.0,340,202,238,12,3556,19308,15882,logistics
instance-9,sat-hmrp,9262,0.0,1117,898,1014,12,19382,99422,77062,logistics
instance-5,sat-hmrphj,23,0.0,118,13,16,12,46,131,39,logistics
instance-2,lm_opt,170,0.0,153,42,52,12,341,2278,1117,logistics
instance-2,sas,170,0.0,153,42,52,13,341,2278,1117,logistics
instance-4,opt,3834,0.0,464,310,361,13,7705,39476,30815,logistics
instance-6,sas,106,0.0,128,17,26,12,241,1101,727,logistics
instance-3,aibr,1771,0.0,340,197,238,12,3556,19308,15882,logistics
instance-7,lm_opt,5871,0.0,604,395,501,13,11880,57115,50096,logistics
instance-7,sat-hmrph,34,0.0,127,16,22,13,69,243,55,logistics
instance-2,sat-hmrp,170,0.0,166,50,64,12,341,2278,1117,logistics
instance-5,sat-hadd,2033,0.0,430,282,328,13,4069,27917,15730,logistics
instance-9,aibr,9262,0.0,920,704,816,13,19382,99422,77062,logistics
instance-3,sat-hradd,1771,0.0,339,206,235,13,3556,19308,15882,logistics
instance-8,sat-hadd,2153,0.0,335,190,227,13,4399,22520,16088,logistics
instance-6,sat-hmrph,10,0.0,111,5,8,13,20,41,13,logistics
instance-1,aibr,721,0.0,203,79,101,12,1466,7644,5849,logistics
instance-2,sat-hradd,170,0.0,152,41,50,13,341,2278,1117,logistics
instance-8,sas,2153,0.0,322,180,220,13,4399,22520,16088,logistics
instance-1,sat-hradd,721,0.0,200,75,99,13,1466,7644,5849,logistics
instance-2,sat-haddabs,170,0.0,152,38,51,12,341,2278,1117,logistics
instance-5,sat-hmrph,23,0.0,117,11,15,13,46,131,39,logistics
instance-10,sas,14424,0.0,2231,1933,2126,13,28872,193937,121015,logistics
instance-6,aibr,106,0.0,126,17,25,13,241,1101,727,logistics
instance-4,opt-hmax,3834,0.0,468,287,364,12,7705,39476,30815,logistics
instance-9,opt-hmax,9262,0.0,928,706,824,13,19382,99422,77062,logistics
instance-4,sat-hmrph,38,0.0,126,18,25,13,76,278,70,logistics
instance-7,aibr,5871,0.0,609,417,507,12,11880,57115,50096,logistics
instance-6,sat-hradd,106,0.0,128,15,26,13,241,1101,727,logistics
instance-2,sat-hmrph,22,0.0,119,14,18,13,44,155,35,logistics
instance-4,sat-hmrphj,38,0.0,126,19,25,13,76,278,70,logistics
instance-7,opt-hmax,5871,0.0,606,432,502,13,11880,57115,50096,logistics
instance-7,sat-hradd,5871,0.0,602,429,498,12,11880,57115,50096,logistics
instance-8,sat-haddabs,2153,0.0,343,191,232,13,4399,22520,16088,logistics
instance-8,lm_opt,2153,0.0,320,172,218,13,4399,22520,16088,logistics
instance-1,sat-hmrphj,25,0.0,121,15,18,13,50,153,31,logistics
instance-3,sat-hmrph,15,0.0,113,7,11,12,31,74,18,logistics
instance-9,opt,9262,0.0,932,726,829,13,19382,99422,77062,logistics
instance-4,sat-hradd,3834,0.0,462,305,361,13,7705,39476,30815,logistics
instance-1,sat-hmrph,25,0.0,121,14,17,13,50,153,31,logistics
instance-3,lm_opt,1771,0.0,338,203,238,12,3556,19308,15882,logistics
instance-5,sat-hradd,2033,0.0,431,301,329,13,4069,27917,15730,logistics
instance-8,aibr,2153,0.0,316,178,216,13,4399,22520,16088,logistics
instance-6,sat-hadd,106,0.0,127,18,26,13,241,1101,727,logistics
instance-1,sat-hmrp,721,0.0,229,113,126,12,1466,7644,5849,logistics
instance-10,sat-hmrp,14424,0.0,2704,2353,2600,13,28872,193937,121015,logistics
instance-10,opt,14424,0.0,2225,1921,2122,12,28872,193937,121015,logistics
instance-8,sat-hmrphj,19,0.0,123,9,14,14,38,91,30,logistics
instance-6,opt-hrmax,106,0.0,127,15,25,12,241,1101,727,logistics
instance-7,opt-hrmax,5871,0.0,601,422,496,13,11880,57115,50096,logistics
instance-6,opt-hmax,106,0.0,129,17,27,13,241,1101,727,logistics
instance-4,opt-hrmax,3834,0.0,466,299,363,13,7705,39476,30815,logistics
instance-4,lm_opt,3834,0.0,468,300,364,13,7705,39476,30815,logistics
instance-7,sat-haddabs,5871,0.0,602,425,499,13,11880,57115,50096,logistics
instance-2,sat-hmrphj,22,0.0,121,14,18,13,44,155,35,logistics
instance-7,sat-hadd,5871,0.0,609,416,505,13,11880,57115,50096,logistics
instance-8,opt,2153,0.0,320,181,218,12,4399,22520,16088,logistics
instance-5,opt-hrmax,2033,0.0,428,297,326,12,4069,27917,15730,logistics
instance-7,sat-hmrphj,34,0.0,126,17,24,13,69,243,55,logistics
instance-3,opt-hrmax,1771,0.0,339,197,237,12,3556,19308,15882,logistics
instance-9,sas,9262,0.0,916,712,813,12,19382,99422,77062,logistics
instance-2,opt-hrmax,170,0.0,155,39,53,13,341,2278,1117,logistics
instance-3,sat-hmrp,1771,0.0,393,249,291,12,3556,19308,15882,logistics
instance-4,sat-hadd,3834,0.0,464,300,362,13,7705,39476,30815,logistics
instance-9,sat-hadd,9262,0.0,924,721,821,13,19382,99422,77062,logistics
instance-5,opt-hmax,2033,0.0,434,290,332,13,4069,27917,15730,logistics
instance-1,opt-hrmax,721,0.0,205,79,100,14,1466,7644,5849,logistics
instance-8,opt-hmax,2153,0.0,338,197,229,13,4399,22520,16088,logistics
instance-10,aibr,14424,0.0,2226,1935,2122,13,28872,193937,121015,logistics
instance-5,sat-haddabs,2033,0.0,428,289,327,13,4069,27917,15730,logistics
instance-3,opt-hmax,1771,0.0,341,196,238,13,3556,19308,15882,logistics
instance-3,sat-hmrphj,15,0.0,114,9,12,13,31,74,18,logistics
instance-3,sat-haddabs,1771,0.0,340,199,238,13,3556,19308,15882,logistics
instance-10,sat-hradd,14424,0.0,2226,1913,2117,13,28872,193937,121015,logistics
instance-6,sat-hmrphj,10,0.0,110,6,8,12,20,41,13,logistics
instance-7,sas,5871,0.0,609,435,506,13,11880,57115,50096,logistics
instance-1,opt,721,0.0,201,88,100,13,1466,7644,5849,logistics
instance-9,sat-hmrphj,34,0.0,126,18,24,12,68,254,62,logistics
instance-5,opt,2033,0.0,434,289,330,12,4069,27917,15730,logistics
instance-3,sas,1771,0.0,339,201,235,13,3556,19308,15882,logistics
instance-5,sat-hmrp,2033,0.0,507,361,403,13,4069,27917,15730,logistics
instance-2,sat-hadd,170,0.0,154,39,51,13,341,2278,1117,logistics
instance-8,sat-hmrp,2153,0.0,372,233,270,12,4399,22520,16088,logistics
instance-5,lm_opt,2033,0.0,425,281,325,12,4069,27917,15730,logistics
instance-10,sat-haddabs,14424,0.0,2203,1889,2099,13,28872,193937,121015,logistics
instance-2,opt,170,0.0,152,42,51,12,341,2278,1117,logistics
instance-4,sas,3834,0.0,465,305,362,13,7705,39476,30815,logistics
instance-10,sat-hmrph,34,0.0,127,18,22,13,68,217,60,logistics
instance-1,sat-hadd,721,0.0,203,79,98,12,1466,7644,5849,logistics
instance-6,sat-hmrp,106,0.0,133,27,33,13,241,1101,727,logistics
instance-8,opt-hrmax,2153,0.0,330,182,220,13,4399,22520,16088,logistics
instance-1,lm_opt,721,0.0,204,83,101,13,1466,7644,5849,logistics
instance-6,opt,106,0.0,126,15,26,13,241,1101,727,logistics
instance-10,opt-hmax,14424,0.0,2229,1918,2126,12,28872,193937,121015,logistics
instance-9,opt-hrmax,9262,0.0,934,714,830,13,19382,99422,77062,logistics
instance-10,sat-hmrphj,34,0.0,124,17,22,13,68,217,60,logistics
instance-1,sat-haddabs,721,0.0,205,79,101,13,1466,7644,5849,logistics
instance-9,sat-haddabs,9262,0.0,920,716,817,14,19382,99422,77062,logistics
instance-6,sat-haddabs,4,3.0,197,50,67,17,18,439,16,schedule
instance-8,sat-hradd,6,5.0,252,100,116,18,18,785,37,schedule
instance-7,opt,5,5.0,208,61,76,18,9,318,2,schedule
instance-1,sas,2,2.0,144,10,21,16,3,66,0,schedule
instance-2,aibr,2,2.0,146,12,21,16,3,63,0,schedule
instance-9,sat-hradd,5,5.0,222,67,87,18,11,422,7,schedule
instance-7,sat-hmrp,5,5.0,205,56,69,19,7,278,1,schedule
instance-5,sas,2,2.0,170,26,38,17,3,109,0,schedule
instance-6,lm_opt,4,3.0,197,53,66,17,18,439,16,schedule
instance-3,opt,2,2.0,146,10,19,16,3,63,0,schedule
instance-1,opt-hmax,2,2.0,146,12,24,15,3,66,0,schedule
instance-5,aibr,2,2.0,168,23,38,17,3,109,0,schedule
instance-10,sat-hadd,5,4.0,240,81,100,19,6,430,1,schedule
instance-9,lm_opt,5,5.0,218,69,85,18,11,422,7,schedule
instance-9,sat-hmrph,5,5.0,180,6,18,21,6,17,0,schedule
instance-10,lm_opt,5,4.0,242,77,102,19,6,430,1,schedule
instance-4,sat-haddabs,4,4.0,192,49,63,16,12,360,8,schedule
instance-2,opt-hmax,2,2.0,147,12,24,16,3,63,0,schedule
instance-8,sat-hmrph,6,5.0,154,11,21,18,7,24,0,schedule
instance-10,opt-hrmax,5,4.0,123489,121405,123349,19,23100,921138,378110,schedule
instance-4,aibr,4,4.0,192,47,64,16,12,360,8,schedule
instance-4,sat-hmrp,5,5.0,188,42,56,17,10,299,2,schedule
instance-3,sat-hadd,2,2.0,142,8,19,15,3,63,0,schedule
instance-5,sat-hmrphj,2,2.0,142,4,13,17,3,11,0,schedule
instance-2,lm_opt,2,2.0,143,11,20,16,3,63,0,schedule
instance-2,sas,2,2.0,146,10,20,15,3,63,0,schedule
instance-4,opt,4,4.0,193,49,63,17,12,360,8,schedule
instance-6,sas,4,3.0,196,45,66,17,18,439,16,schedule
instance-3,aibr,2,2.0,143,11,20,16,3,63,0,schedule
instance-7,lm_opt,5,5.0,210,64,77,17,9,318,2,schedule
instance-7,sat-hmrph,5,5.0,155,10,21,18,8,31,0,schedule
instance-2,sat-hmrp,2,2.0,146,14,21,16,3,63,0,schedule
instance-5,sat-hadd,2,2.0,167,25,38,16,3,109,0,schedule
instance-9,aibr,5,5.0,219,71,86,18,11,422,7,schedule
instance-3,sat-hradd,2,2.0,143,10,20,16,3,63,0,schedule
instance-8,sat-hadd,6,5.0,251,103,117,18,18,785,37,schedule
instance-6,sat-hmrph,4,3.0,142,5,13,17,6,11,0,schedule
instance-1,aibr,2,2.0,141,9,20,16,3,66,0,schedule
instance-2,sat-hradd,2,2.0,144,12,20,15,3,63,0,schedule
instance-8,sas,6,5.0,253,97,118,18,18,785,37,schedule
instance-1,sat-hradd,2,2.0,144,10,20,17,3,66,0,schedule
instance-2,sat-haddabs,2,2.0,143,9,20,16,3,63,0,schedule
instance-5,sat-hmrph,2,2.0,143,5,13,17,3,11,0,schedule
instance-10,sas,5,4.0,238,81,100,19,6,430,1,schedule
instance-6,aibr,4,3.0,198,51,68,17,18,439,16,schedule
instance-4,opt-hmax,5,4.0,2295,2099,2164,17,896,26221,9371,schedule
instance-9,opt-hmax,6,5.0,100720,98772,100584,19,25630,888965,455644,schedule
instance-4,sat-hmrph,4,4.0,145,8,16,17,5,20,0,schedule
instance-7,aibr,5,5.0,211,61,76,18,9,318,2,schedule
instance-6,sat-hradd,4,3.0,195,55,66,17,18,439,16,schedule
instance-2,sat-hmrph,2,2.0,134,1,9,17,3,5,0,schedule
instance-4,sat-hmrphj,4,4.0,145,6,16,17,5,20,0,schedule
instance-7,opt-hmax,6,5.0,88303,86635,88170,18,24182,787781,429350,schedule
instance-7,sat-hradd,5,5.0,210,55,75,18,9,318,2,schedule
instance-8,sat-haddabs,6,5.0,252,98,116,18,18,785,37,schedule
instance-8,lm_opt,6,5.0,251,93,117,18,18,785,37,schedule
instance-1,sat-hmrphj,2,2.0,135,2,10,16,3,5,0,schedule
instance-3,sat-hmrph,2,2.0,135,3,11,15,3,10,0,schedule
instance-9,opt,5,5.0,223,72,87,18,11,422,7,schedule
instance-4,sat-hradd,4,4.0,193,47,64,16,12,360,8,schedule
instance-1,sat-hmrph,2,2.0,134,1,10,16,3,5,0,schedule
instance-3,lm_opt,2,2.0,143,11,21,16,3,63,0,schedule
instance-5,sat-hradd,2,2.0,167,26,36,17,3,109,0,schedule
instance-8,aibr,6,5.0,252,101,116,19,18,785,37,schedule
instance-6,sat-hadd,4,3.0,197,52,68,17,18,439,16,schedule
instance-1,sat-hmrp,2,2.0,145,10,22,16,3,66,0,schedule
instance-10,sat-hmrp,6,5.0,282,118,140,18,23,1082,9,schedule
instance-10,opt,5,4.0,240,86,101,19,6,430,1,schedule
instance-8,sat-hmrphj,6,5.0,155,10,21,18,7,24,0,schedule
instance-6,opt-hrmax,4,3.0,313,160,182,17,55,1722,282,schedule
instance-7,opt-hrmax,6,5.0,88786,87142,88651,18,24182,787781,429350,schedule
instance-6,opt-hmax,4,3.0,309,159,181,17,55,1722,282,schedule
instance-4,opt-hrmax,5,4.0,2255,2043,2122,17,896,26221,9371,schedule
instance-4,lm_opt,4,4.0,192,53,63,17,12,360,8,schedule
instance-7,sat-haddabs,5,5.0,209,58,76,19,9,318,2,schedule
instance-2,sat-hmrphj,2,2.0,135,2,10,15,3,5,0,schedule
instance-7,sat-hadd,5,5.0,211,59,76,18,9,318,2,schedule
instance-8,opt,6,5.0,252,98,117,18,18,785,37,schedule
instance-5,opt-hrmax,2,2.0,205,61,73,18,12,437,9,schedule
instance-7,sat-hmrphj,5,5.0,157,12,23,18,8,31,0,schedule
instance-3,opt-hrmax,2,2.0,147,9,24,16,3,63,0,schedule
instance-9,sas,5,5.0,219,68,85,18,11,422,7,schedule
instance-2,opt-hrmax,2,2.0,150,12,25,15,3,63,0,schedule
instance-3,sat-hmrp,2,2.0,147,14,22,15,3,63,0,schedule
instance-4,sat-hadd,4,4.0,192,48,62,17,12,360,8,schedule
instance-9,sat-hadd,5,5.0,223,71,85,18,11,422,7,schedule
instance-5,opt-hmax,2,2.0,204,58,74,17,12,437,9,schedule
instance-1,opt-hrmax,2,2.0,148,13,24,16,3,66,0,schedule
instance-8,opt-hmax,5,4.0,85476,83846,85343,17,24082,767562,368580,schedule
instance-10,aibr,5,4.0,239,84,101,18,6,430,1,schedule
instance-5,sat-haddabs,2,2.0,167,26,36,16,3,109,0,schedule
instance-3,opt-hmax,2,2.0,146,11,24,16,3,63,0,schedule
instance-3,sat-hmrphj,2,2.0,135,3,11,16,3,10,0,schedule
instance-3,sat-haddabs,2,2.0,144,9,20,16,3,63,0,schedule
instance-10,sat-hradd,5,4.0,240,83,100,19,6,430,1,schedule
instance-6,sat-hmrphj,4,3.0,141,5,13,16,6,11,0,schedule
instance-7,sas,5,5.0,213,62,77,19,9,318,2,schedule
instance-1,opt,2,2.0,143,11,20,16,3,66,0,schedule
instance-9,sat-hmrphj,5,5.0,156,7,19,19,6,17,0,schedule
instance-5,opt,2,2.0,166,24,36,17,3,109,0,schedule
instance-3,sas,2,2.0,144,9,20,15,3,63,0,schedule
instance-5,sat-hmrp,2,2.0,168,28,37,17,3,109,0,schedule
instance-2,sat-hadd,2,2.0,145,12,21,15,3,63,0,schedule
instance-8,sat-hmrp,5,4.0,217,68,81,18,9,447,2,schedule
instance-5,lm_opt,2,2.0,167,25,38,16,3,109,0,schedule
instance-10,sat-haddabs,5,4.0,238,83,101,18,6,430,1,schedule
instance-2,opt,2,2.0,144,12,21,17,3,63,0,schedule
instance-4,sas,4,4.0,191,51,61,17,12,360,8,schedule
instance-10,sat-hmrph,5,4.0,164,13,25,19,6,22,1,schedule
instance-1,sat-hadd,2,2.0,144,12,20,16,3,66,0,schedule
instance-6,sat-hmrp,5,4.0,200,58,72,17,17,461,10,schedule
instance-8,opt-hrmax,5,4.0,83020,81316,82883,19,24082,767562,368580,schedule
instance-1,lm_opt,2,2.0,144,12,20,15,3,66,0,schedule
instance-6,opt,4,3.0,197,54,67,17,18,439,16,schedule
instance-10,opt-hmax,5,4.0,123812,121734,123674,18,23100,921138,378110,schedule
instance-9,opt-hrmax,6,5.0,101578,99479,101439,18,25630,888965,455644,schedule
instance-10,sat-hmrphj,5,4.0,165,14,25,19,6,22,1,schedule
instance-1,sat-haddabs,2,2.0,143,9,20,16,3,66,0,schedule
instance-9,sat-haddabs,5,5.0,224,72,87,20,11,422,7,schedule
